id,date,description,amount,category
469,2025-12-20,DUOLINGO PLUS,578.45,Education
470,2025-11-14,PARKING METER 4683,9.2,Transport
471,2026-02-10,UBER TRIP 4801,149.45,Transport
472,2025-09-13,NETFLIX.COM,16.74,Entertainment
473,2025-10-03,DUNKIN #3842,26.91,Food
474,2025-10-02,MINT MOBILE 57598,62.15,Utilities
475,2026-04-16,WENDYS #75923,77.73,Food
476,2025-10-03,MARSHALLS #4198,146.03,Shopping
477,2026-01-31,AT&T BILL 658902,52.06,Utilities
478,2025-07-01,TRASH PICKUP 4754,38.6,Utilities
479,2025-10-22,PEST CONTROL 6719,1032.16,Housing
480,2025-06-14,SQ *66267055,388.61,Ambiguous
481,2025-08-22,TESLA SUPERCHARGER 9449,145.05,Transport
482,2026-02-12,MINT MOBILE 83619,147.43,Utilities
483,2025-12-30,CIGNA PREMIUM 54091,217.27,Healthcare
484,2025-06-20,LABCORP 7396271,101.3,Healthcare
485,2025-09-07,COMMUNITY COLLEGE 0212,184.38,Education
486,2026-02-14,GREYHOUND BUS 72624,35.21,Transport
487,2026-03-26,TRUE VALUE HW 379,972.49,Housing
488,2025-08-14,PLUMBER SVC 8270,1500.82,Housing
489,2025-12-25,MINT MOBILE 12875,70.34,Utilities
490,2025-07-14,WALMART #7173,86.61,Shopping
491,2026-03-28,GOOGLE FI 821766,107.46,Utilities
492,2025-07-09,ACE HARDWARE 1047,838.35,Housing
493,2025-10-13,TRASH PICKUP 9605,83.38,Utilities
494,2025-11-23,PLAYSTATION STORE,41.06,Entertainment
495,2025-12-30,QUEST DIAGNOSTICS 42123,369.13,Healthcare
496,2025-06-05,JUST EAT 141381,24.94,Food
497,2026-03-31,NIKE.COM 38661331,254.45,Shopping
498,2025-08-09,ENTERPRISE RENT-A-CAR 7768,64.55,Transport
499,2025-11-25,DUNKIN #1849,77.98,Food
500,2026-04-17,DISH NETWORK 97499,182.2,Utilities
501,2025-10-23,NINTENDO ESHOP 105053,21.74,Entertainment
502,2025-12-19,NORDSTROM #9660,185.39,Shopping
503,2025-11-09,PROPERTY MGMT 0163,1151.35,Housing
504,2025-11-24,CHECKCARD 601347,130.01,Ambiguous
505,2025-09-11,DUNKIN #1453,62.11,Food
506,2025-11-08,ZARA 9042,84.29,Shopping
507,2025-08-30,HOA FEE 9261,326.62,Housing
508,2025-12-18,QUEST DIAGNOSTICS 49082,238.75,Healthcare
509,2026-01-01,MENTAL HLTH SVCS 0050,273.96,Healthcare
510,2025-08-24,SOLAR PANEL PMT 61498,76.0,Utilities
511,2026-05-10,KOHLS #7444,139.01,Shopping
512,2026-01-10,URGENT CARE 3204,480.75,Healthcare
513,2025-08-23,AMAZON.COM*983430187,247.18,Shopping
514,2026-01-14,GREYHOUND BUS 15974,62.87,Transport
515,2026-01-20,NIKE.COM 45705458,110.36,Shopping
516,2025-08-07,YOUTUBE PREMIUM,25.4,Entertainment
517,2025-06-18,DIRECTV 641758,65.89,Utilities
518,2025-10-16,DISH NETWORK 01051,100.16,Utilities
519,2026-02-21,METRO TRANSIT 54249,85.04,Transport
520,2025-11-17,STUDY.COM 158886,237.53,Education
521,2025-06-27,EDX COURSE 889241,567.41,Education
522,2026-01-09,RENT PMT NOV 5639,1772.44,Housing
523,2026-01-04,TACO BELL #89856,76.13,Food
524,2025-08-04,MCDONALDS #77217,53.25,Food
525,2026-04-24,GNC SUPPLEMENT 1966,473.94,Healthcare
526,2025-05-22,JUST EAT 777809,62.4,Food
527,2025-09-26,LINKEDIN LRN 626714,448.88,Education
528,2025-09-05,EVENTBRITE 322855,6.91,Entertainment
529,2026-04-11,XBOX GAME PASS,49.18,Entertainment
530,2025-12-03,ONLINE PMT 7548954,187.91,Ambiguous
531,2026-01-21,SECURITY DEPOSIT 12966,1599.62,Housing
532,2025-06-18,UNIVERSITY TUITION 55973,333.19,Education
533,2025-11-24,CENTURYLINK 179327,107.27,Utilities
534,2025-08-18,LOWES #3106,1307.99,Housing
535,2025-06-09,T-MOBILE 451957,187.43,Utilities
536,2026-04-13,PARKING METER 5787,149.31,Transport
537,2025-08-29,STEAM GAMES 88209088,11.35,Entertainment
538,2026-03-29,ETSY INC 9799070,128.48,Shopping
539,2025-06-06,UDEMY COURSE 5892583,257.73,Education
540,2025-12-24,DUOLINGO PLUS,367.92,Education
541,2025-09-23,WAYFAIR ORDER 5875066,1597.02,Housing
542,2025-06-14,STUDENT LOAN PMT 165820,518.79,Education
543,2026-01-25,HERTZ #26347,52.44,Transport
544,2025-10-12,PLUMBER SVC 2333,1483.12,Housing
545,2026-03-11,PARKRIGHT 63632,54.76,Transport
546,2026-01-17,PEARSON EBOOK 753967,29.14,Education
547,2025-07-16,HBO MAX 357790,17.52,Entertainment
548,2026-01-19,WALGREENS #8997,251.44,Healthcare
549,2025-07-23,DOMINOS PIZZA 885,36.61,Food
550,2025-06-15,TICKETMASTER 24103865,27.14,Entertainment
551,2026-03-07,MARSHALLS #6531,22.05,Shopping
552,2025-09-06,CVS PHARMACY #6112,62.5,Healthcare
553,2026-01-24,STEAM GAMES 62639343,17.96,Entertainment
554,2025-12-16,LOCAL BAKERY 684,77.95,Food
555,2025-08-24,STARBUCKS STORE 8960,6.98,Food
556,2025-08-27,MCDONALDS #73598,60.78,Food
557,2026-01-08,MENTAL HLTH SVCS 0512,499.01,Healthcare
558,2025-06-21,CHIPOTLE 8723,63.17,Food
559,2026-01-18,DENTAL OFFICE 1369,499.7,Healthcare
560,2025-12-07,DOORDASH *ORDER 1395,65.38,Food
561,2025-10-22,REGAL CINEMA 9114,15.56,Entertainment
562,2025-10-03,TWITCH.TV SUB 87824,33.74,Entertainment
563,2026-01-29,WAYFAIR ORDER 1721436,1517.54,Housing
564,2026-03-18,DENTAL OFFICE 8839,31.3,Healthcare
565,2026-03-31,PIZZA HUT 0904,70.4,Food
566,2026-02-05,SEWAGE SVC 8986,40.62,Utilities
567,2025-12-01,MORTGAGE PMT 65729,1529.09,Housing
568,2026-05-10,HOA FEE 3892,1761.91,Housing
569,2025-06-01,DENTAL OFFICE 5719,380.49,Healthcare
570,2025-12-08,WATER UTILITY 29960,67.88,Utilities
571,2025-06-30,UBER TRIP 9467,9.03,Transport
572,2025-06-06,XFINITY INTERNET,89.51,Utilities
573,2025-07-26,DISNEY+ 3705895,49.33,Entertainment
574,2025-08-26,WAYFAIR ORDER 3343333,1148.3,Housing
575,2025-05-25,MINT MOBILE 82973,69.73,Utilities
576,2026-01-05,PROPERTY MGMT 0430,1517.28,Housing
577,2025-10-21,NETFLIX.COM,16.05,Entertainment
578,2025-12-13,PEST CONTROL 6372,1579.69,Housing
579,2025-07-11,PANERA BREAD 6940,29.84,Food
580,2025-12-24,MACYS #4316,336.25,Shopping
581,2026-01-31,CHEVRON 6866,70.16,Transport
582,2026-01-31,LOWES #1219,396.7,Housing
583,2025-07-19,KINDLE STORE 496718,34.32,Entertainment
584,2025-12-20,HULU 3761820,11.46,Entertainment
585,2025-05-21,PROPERTY MGMT 4275,1441.37,Housing
586,2026-01-07,VERIZON WIRELESS,160.15,Utilities
587,2025-08-17,UNIVERSITY TUITION 24179,685.72,Education
588,2026-02-22,TWITCH.TV SUB 54678,46.18,Entertainment
589,2026-04-26,AIRBNB RESERVATION 68516048,1762.24,Housing
590,2026-02-18,HOA FEE 4980,1044.91,Housing
591,2025-10-02,IKEA 993908,1574.89,Housing
592,2025-07-12,SHELL PETROL STN 813,79.99,Transport
593,2026-04-12,UNIVERSITY TUITION 15718,196.78,Education
594,2025-12-30,TJ MAXX #7043,323.1,Shopping
595,2025-07-09,CITY MEDICAL CTR 2209,392.87,Healthcare
596,2025-06-04,SUBWAY #916,29.49,Food
597,2025-09-11,EVENTBRITE 839597,20.47,Entertainment
598,2025-08-10,MENTAL HLTH SVCS 4491,227.87,Healthcare
599,2026-02-08,GOOGLE FI 443448,185.71,Utilities
600,2025-10-07,EXAM FEE 52734,521.69,Education
601,2025-12-26,HOME DEPOT #6037,1742.61,Housing
602,2025-11-24,PLURALSIGHT 7700284,265.36,Education
603,2025-09-10,WATER UTILITY 94380,172.52,Utilities
604,2026-01-16,EXXON #5452,139.12,Transport
605,2025-05-22,SEWAGE SVC 3691,181.63,Utilities
606,2025-12-20,DEBIT CARD 251448,85.12,Ambiguous
607,2026-05-07,CAMPUS BOOKSTORE 8341,119.41,Education
608,2026-03-18,MISCELLANEOUS 9611,171.38,Ambiguous
609,2026-04-01,PRET A MANGER 317,53.53,Food
610,2026-02-08,CENTURYLINK 662813,149.92,Utilities
611,2026-03-04,DIRECTV 323822,194.72,Utilities
612,2025-08-22,MARSHALLS #5182,99.91,Shopping
613,2025-11-19,NATIONAL RAIL 807836,118.07,Transport
614,2025-08-21,MENTAL HLTH SVCS 3920,167.04,Healthcare
615,2026-01-11,PEARSON EBOOK 054873,208.28,Education
616,2025-09-10,TRANSFER 21980418,185.46,Ambiguous
617,2025-09-27,STUDENT LOAN PMT 745245,198.4,Education
618,2025-12-23,LABCORP 5047158,232.73,Healthcare
619,2026-01-26,LYFT *RIDE 43263,27.53,Transport
620,2026-01-22,TESLA SUPERCHARGER 5541,34.25,Transport
621,2025-12-31,HOME DEPOT #2233,1913.73,Housing
622,2026-02-25,WALGREENS #3172,240.31,Healthcare
623,2025-12-04,UBER EATS 78112,55.41,Food
624,2026-03-31,ELECTRIC BILL 98616,203.04,Utilities
625,2026-03-25,DENTAL OFFICE 9106,462.68,Healthcare
626,2025-06-12,TWITCH.TV SUB 37613,18.3,Entertainment
627,2026-02-24,TRUE VALUE HW 861,1063.03,Housing
628,2025-06-16,HOSPITAL BILL 728012,434.53,Healthcare
629,2026-01-08,HULU 4612004,33.59,Entertainment
630,2025-12-18,STEAM GAMES 61797968,34.64,Entertainment
631,2025-10-06,WALMART #0568,388.15,Shopping
632,2025-05-26,CODECADEMY PRO,477.96,Education
633,2025-07-15,SHERWIN WILLIAMS 9611,927.86,Housing
634,2025-06-19,AMTRAK TKT 888880,146.4,Transport
635,2026-03-22,GAS UTILITY 56907,207.52,Utilities
636,2025-12-09,ADIDAS #641605,177.42,Shopping
637,2025-06-13,TWITCH.TV SUB 03432,49.3,Entertainment
638,2025-07-26,KFC #569,20.27,Food
639,2025-11-02,SOLAR PANEL PMT 38179,108.24,Utilities
640,2025-10-31,SHEIN ORDER 2170730,126.86,Shopping
641,2025-08-06,STARBUCKS STORE 4420,19.99,Food
642,2025-08-08,TARGET #7261,27.85,Shopping
643,2025-05-24,BEST BUY #6005,87.99,Shopping
644,2025-05-21,TWITCH.TV SUB 44324,24.03,Entertainment
645,2025-07-17,PARKRIGHT 47321,42.33,Transport
646,2026-02-15,STEAM GAMES 35615951,5.08,Entertainment
647,2026-03-28,PARKING METER 3751,11.52,Transport
648,2025-11-29,XFINITY INTERNET,61.26,Utilities
649,2026-01-03,POS PURCHASE 13290,233.89,Ambiguous
650,2025-12-25,APARTMENT FEES 3718,809.19,Housing
651,2025-12-09,DR NGUYEN MD 2752,461.41,Healthcare
652,2025-06-18,LOCAL BAKERY 486,64.36,Food
653,2025-12-07,UNIVERSITY TUITION 46867,237.17,Education
654,2026-01-08,URGENT CARE 1133,88.5,Healthcare
655,2025-07-07,URGENT CARE 2896,142.52,Healthcare
656,2025-07-31,WENDYS #1043,36.22,Food
657,2026-04-29,JUST EAT 691669,52.06,Food
658,2025-09-26,AT&T BILL 330800,55.35,Utilities
659,2026-05-05,PP*588914444,171.85,Ambiguous
660,2026-02-21,SUBWAY #8955,73.94,Food
661,2025-12-13,TARGET #0745,123.99,Shopping
662,2025-08-05,ZIPCAR 68653,49.09,Transport
663,2026-01-01,DR GARCIA MD 5758,307.76,Healthcare
664,2025-08-28,COMCAST #48247,197.2,Utilities
665,2025-09-21,UNIQLO 5101,270.12,Shopping
666,2025-11-13,APARTMENT FEES 8692,1433.79,Housing
667,2025-06-02,WALMART #8496,185.27,Shopping
668,2025-06-10,TUTORING SVC 3476,616.82,Education
669,2025-12-26,JUST EAT 688936,41.25,Food
670,2026-03-04,ETSY INC 6782741,119.92,Shopping
671,2025-11-08,SHERWIN WILLIAMS 1295,671.24,Housing
672,2025-07-11,LYFT *RIDE 31009,99.78,Transport
673,2025-07-20,SKILLSHARE PMT 90871,28.03,Education
674,2025-11-08,ESPN+ SUBSCRIPTION,38.05,Entertainment
675,2025-08-02,JUST EAT 221610,72.07,Food
676,2025-07-06,VISION CENTER #439,46.94,Healthcare
677,2025-09-01,VISION CENTER #942,28.58,Healthcare
678,2025-09-04,SHERWIN WILLIAMS 9174,1606.8,Housing
679,2026-03-14,ELECTRIC BILL 62543,166.81,Utilities
680,2026-02-23,STORAGE UNIT 4124,1435.37,Housing
681,2025-06-12,PAYMENT 141884,183.86,Ambiguous
682,2026-04-08,TRASH PICKUP 8457,125.7,Utilities
683,2025-07-07,EBAY PURCHASE 91380003,109.5,Shopping
684,2026-03-28,ELECTRIC BILL 03202,133.67,Utilities
685,2025-11-18,HOME DEPOT #1569,1739.02,Housing
686,2026-04-22,NINTENDO ESHOP 926831,18.46,Entertainment
687,2026-03-28,LYFT *RIDE 01476,30.09,Transport
688,2026-02-24,JUST EAT 586239,26.11,Food
689,2025-07-26,GNC SUPPLEMENT 2840,32.34,Healthcare
690,2025-06-28,SPOTIFY 99097005,15.82,Entertainment
691,2025-07-19,TACO BELL #14429,41.36,Food
692,2025-11-01,MASTERCLASS SUB,61.77,Education
693,2025-08-11,SKILLSHARE PMT 95963,116.79,Education
694,2025-08-21,CVS PHARMACY #1739,117.73,Healthcare
695,2025-07-17,MENARDS #3908,1560.88,Housing
696,2026-03-04,LYFT *RIDE 47072,18.35,Transport
697,2026-02-13,STORAGE UNIT 0774,787.5,Housing
698,2026-02-18,CHIROPRACTOR 8728,494.71,Healthcare
699,2025-10-11,PIZZA HUT 6296,68.98,Food
700,2025-06-28,CHEVRON 6141,19.33,Transport
701,2025-05-26,KOHLS #6524,295.94,Shopping
702,2025-08-02,TICKETMASTER 64957823,15.82,Entertainment
703,2025-11-21,SHERWIN WILLIAMS 9826,1227.5,Housing
704,2025-12-21,CHEVRON 2531,122.88,Transport
705,2026-02-04,ACE HARDWARE 2631,1837.09,Housing
706,2026-02-10,UDEMY COURSE 0501716,718.75,Education
707,2025-09-09,EBAY PURCHASE 56022939,394.96,Shopping
708,2026-04-16,TUTORING SVC 2595,68.96,Education
709,2026-04-07,POS PURCHASE 79246,220.59,Ambiguous
710,2025-11-22,TICKETMASTER 56472929,36.53,Entertainment
711,2026-05-10,CVS PHARMACY #4550,102.5,Healthcare
712,2026-02-18,GAS UTILITY 11317,134.47,Utilities
713,2026-04-17,NIKE.COM 03408487,76.93,Shopping
714,2026-03-20,XFINITY INTERNET,85.94,Utilities
715,2025-06-06,WALMART #6071,164.86,Shopping
716,2026-04-03,ESPN+ SUBSCRIPTION,13.13,Entertainment
717,2025-06-07,ONLINE PMT 0236936,114.02,Ambiguous
718,2026-03-05,SHEIN ORDER 4777520,350.36,Shopping
719,2025-08-02,LOCAL BAKERY 351,43.38,Food
720,2025-09-06,ENTERPRISE RENT-A-CAR 1528,122.12,Transport
721,2025-12-05,UNIQLO 8685,92.71,Shopping
722,2025-05-16,CHEVRON 6324,70.66,Transport
723,2025-07-16,MENTAL HLTH SVCS 5890,487.52,Healthcare
724,2026-04-19,PEARSON EBOOK 013290,405.55,Education
725,2026-05-03,XBOX GAME PASS,28.36,Entertainment
726,2025-12-27,UDEMY COURSE 7980660,290.9,Education
727,2025-07-11,NATIONAL RAIL 861515,25.7,Transport
728,2026-02-19,STARBUCKS STORE 1960,55.75,Food
729,2025-12-04,AMAZON.COM*321812276,217.19,Shopping
730,2026-01-27,WAYFAIR ORDER 5766656,307.11,Housing
731,2025-11-26,AT&T BILL 015343,136.48,Utilities
732,2025-12-14,PROPERTY MGMT 7969,533.27,Housing
733,2025-06-30,EBAY PURCHASE 55983541,339.44,Shopping
734,2025-12-30,LINKEDIN LRN 015959,545.75,Education
735,2026-04-28,KFC #8769,46.5,Food
736,2025-08-20,UBER TRIP 0372,106.84,Transport
737,2025-10-04,STUBHUB #3106903,20.58,Entertainment
738,2025-08-09,DEBIT CARD 039111,471.3,Ambiguous
739,2025-07-21,ESPN+ SUBSCRIPTION,38.83,Entertainment
740,2026-02-02,SQ *32397913,56.27,Ambiguous
741,2026-01-29,APPLE TV+ 2688615,28.43,Entertainment
742,2025-08-29,FIVE GUYS 394,65.35,Food
743,2026-04-14,PEST CONTROL 7496,484.71,Housing
744,2026-01-21,QUEST DIAGNOSTICS 01851,119.56,Healthcare
745,2026-03-11,LANDLORD TRANSFER 628936,1914.43,Housing
746,2025-12-28,SKILLSHARE PMT 49649,371.4,Education
747,2025-11-11,SCHOOL SUPPLIES 7060,503.78,Education
748,2025-10-03,ELECTRIC BILL 50232,239.29,Utilities
749,2025-09-20,UNIQLO 0008,94.09,Shopping
750,2025-05-27,HEALTH INS PMT 44731,221.2,Healthcare
751,2026-03-25,STUDENT LOAN PMT 893195,564.48,Education
752,2026-04-29,XBOX GAME PASS,30.67,Entertainment
753,2025-08-23,SEWAGE SVC 5190,31.14,Utilities
754,2025-05-27,GAS UTILITY 96883,239.41,Utilities
755,2026-04-15,COSTCO WHSE #3668,322.83,Shopping
756,2025-06-10,NINTENDO ESHOP 442067,22.83,Entertainment
757,2025-05-18,CHIROPRACTOR 0633,40.42,Healthcare
758,2025-08-07,COX COMM 13283,104.87,Utilities
759,2026-02-14,COX COMM 72904,218.35,Utilities
760,2026-04-01,COURSERA SUB 543173,482.17,Education
761,2025-09-06,T-MOBILE 964178,158.87,Utilities
762,2026-02-21,PROPERTY MGMT 3381,595.25,Housing
763,2025-09-15,PARKING METER 0316,107.21,Transport
764,2025-10-04,RITE AID #1272,68.04,Healthcare
765,2026-01-24,TRASH PICKUP 8819,193.35,Utilities
766,2025-08-26,TOLL PAYMENT 250124,37.17,Transport
767,2025-12-06,SQ *95413297,209.26,Ambiguous
768,2026-02-18,SHELL PETROL STN 375,43.53,Transport
769,2025-05-28,MRI CENTER 75203,453.58,Healthcare
770,2026-01-13,PIZZA HUT 6720,71.02,Food
771,2025-12-14,SHERWIN WILLIAMS 1957,1573.63,Housing
772,2026-05-01,H&M #9825,136.45,Shopping
773,2025-09-27,BP FUEL 9125,28.73,Transport
774,2025-09-07,MINT MOBILE 00244,192.77,Utilities
775,2025-10-27,SPOTIFY 61648408,35.71,Entertainment
776,2025-08-09,COMMUNITY COLLEGE 8319,466.55,Education
777,2026-02-08,AT&T BILL 321528,178.39,Utilities
778,2025-08-28,RITE AID #2856,262.98,Healthcare
779,2026-01-04,PIZZA HUT 2928,31.48,Food
780,2026-03-06,BOOKING.COM 3466766,1248.74,Housing
781,2025-09-08,PARKRIGHT 15098,25.18,Transport
782,2026-04-18,AT&T BILL 999219,151.39,Utilities
783,2025-11-27,KINDLE STORE 578759,40.77,Entertainment
784,2025-09-25,ZARA 2843,248.98,Shopping
785,2026-02-17,STEAM GAMES 93113253,11.48,Entertainment
786,2025-10-25,SECURITY DEPOSIT 18812,1859.09,Housing
787,2026-02-26,RENT PMT NOV 0572,1251.93,Housing
788,2025-06-26,UDEMY COURSE 7765612,233.75,Education
789,2025-08-11,CHEGG STUDY 252237,591.77,Education
790,2026-02-04,ZIPCAR 41173,19.1,Transport
791,2026-03-27,TOTAL GAS 5535,24.75,Transport
792,2026-04-13,KFC #86379,47.09,Food
793,2025-07-29,KHAN ACADEMY,658.33,Education
794,2025-11-13,UBER EATS 53666,65.78,Food
795,2025-06-03,VERIZON WIRELESS,57.97,Utilities
796,2025-12-20,RITE AID #0821,394.25,Healthcare
797,2025-06-16,TOTAL GAS 5865,121.74,Transport
798,2025-07-14,WATER UTILITY 68087,85.53,Utilities
799,2025-11-27,REGAL CINEMA 8527,32.36,Entertainment
800,2025-12-26,APARTMENT FEES 0213,1452.75,Housing
801,2025-05-31,MORTGAGE PMT 39773,410.18,Housing
802,2026-01-08,STUBHUB #9825071,21.84,Entertainment
803,2026-05-09,TJ MAXX #4341,218.9,Shopping
804,2026-02-21,INTERNET SVC 55665,228.55,Utilities
805,2025-07-14,AT&T BILL 783332,227.21,Utilities
806,2025-10-31,CHEGG STUDY 369378,138.88,Education
807,2025-11-24,SHEIN ORDER 2229270,61.11,Shopping
808,2026-03-07,AETNA COPAY 20867,122.71,Healthcare
809,2025-11-16,TJ MAXX #7126,237.12,Shopping
810,2025-06-25,SOLAR PANEL PMT 04328,31.16,Utilities
811,2025-06-27,PLAYSTATION STORE,19.12,Entertainment
812,2026-04-11,MINT MOBILE 91428,53.94,Utilities
813,2026-02-15,STORAGE UNIT 6823,501.68,Housing
814,2025-06-28,APARTMENT FEES 4865,1505.02,Housing
815,2025-06-05,TACO BELL #6876,65.87,Food
816,2025-11-21,STUDENT LOAN PMT 377351,45.52,Education
817,2026-01-09,TUTORING SVC 1516,670.7,Education
818,2026-03-13,KOHLS #4134,78.92,Shopping
819,2025-09-05,ENTERPRISE RENT-A-CAR 0103,40.68,Transport
820,2025-08-31,ACE HARDWARE 7389,686.88,Housing
821,2026-03-07,TRUE VALUE HW 738,1327.77,Housing
822,2025-10-12,BURGER KING #714,17.81,Food
823,2026-01-15,COURSERA SUB 116719,216.93,Education
824,2025-07-17,AETNA COPAY 36730,416.7,Healthcare
825,2025-06-20,SHERWIN WILLIAMS 6323,1011.3,Housing
826,2026-01-20,TRASH PICKUP 8091,167.9,Utilities
827,2026-05-09,MACYS #8841,90.9,Shopping
828,2025-09-08,LYFT *RIDE 56743,78.52,Transport
829,2026-03-06,TACO BELL #742,6.34,Food
830,2026-01-22,EBAY PURCHASE 72233060,342.33,Shopping
831,2025-12-01,DUOLINGO PLUS,752.73,Education
832,2025-07-29,STEAM GAMES 57540900,44.57,Entertainment
833,2026-02-27,MENARDS #0112,1499.63,Housing
834,2026-04-24,STEAM GAMES 12871539,34.97,Entertainment
835,2026-02-18,SPOTIFY 87256394,29.82,Entertainment
836,2025-06-05,UBER TRIP 0684,45.23,Transport
837,2026-02-15,TICKETMASTER 31472760,42.89,Entertainment
838,2025-07-14,CHIPOTLE 0276,61.66,Food
839,2026-01-19,XFINITY INTERNET,223.79,Utilities
840,2025-09-26,HEALTH INS PMT 61470,109.95,Healthcare
841,2026-02-17,PHYSICAL THERAPY 2756,485.24,Healthcare
842,2025-08-06,TUTORING SVC 3924,431.42,Education
843,2025-09-19,CVS PHARMACY #3569,369.06,Healthcare
844,2025-07-19,H&M #8843,292.79,Shopping
845,2025-11-07,SOLAR PANEL PMT 24013,145.09,Utilities
846,2026-02-11,H&M #4789,397.9,Shopping
847,2026-04-11,AETNA COPAY 76792,48.08,Healthcare
848,2025-08-14,PAYMENT 245591,6.03,Ambiguous
849,2025-06-29,PLAYSTATION STORE,36.08,Entertainment
850,2025-12-30,FIVE GUYS 579,62.84,Food
851,2026-04-04,MACYS #1585,166.24,Shopping
852,2025-07-29,CHIROPRACTOR 2569,321.38,Healthcare
853,2025-06-17,PP*679935937,296.71,Ambiguous
854,2025-05-18,MACYS #5265,148.02,Shopping
855,2025-11-26,HBO MAX 424295,18.97,Entertainment
856,2025-05-23,LABCORP 1929275,431.06,Healthcare
857,2025-09-05,NETFLIX.COM,19.74,Entertainment
858,2025-09-07,SCHOOL SUPPLIES 0981,113.32,Education
859,2026-02-07,EBAY PURCHASE 49877694,179.84,Shopping
860,2025-12-18,SPOTIFY 95814671,28.77,Entertainment
861,2026-02-12,DIRECTV 860084,33.46,Utilities
862,2026-04-24,SHELL PETROL STN 715,84.49,Transport
863,2026-03-12,APARTMENT FEES 3371,504.6,Housing
864,2025-11-16,BURGER KING #7700,43.84,Food
865,2025-05-23,DUNKIN #7356,11.76,Food
866,2026-04-28,MRI CENTER 12604,492.96,Healthcare
867,2026-03-05,TOTAL GAS 8488,42.82,Transport
868,2025-06-19,CVS PHARMACY #5573,83.13,Healthcare
869,2025-07-18,HOA FEE 0587,1925.38,Housing
870,2026-04-09,PLAYSTATION STORE,42.68,Entertainment
871,2025-10-14,PHYSICAL THERAPY 0842,178.67,Healthcare
872,2025-08-14,STUDY.COM 017537,299.21,Education
873,2025-12-14,NETFLIX.COM,45.51,Entertainment
874,2026-02-19,CIGNA PREMIUM 93734,377.55,Healthcare
875,2026-04-01,PARKING METER 9731,124.99,Transport
876,2025-06-30,ZIPCAR 11212,140.1,Transport
877,2025-06-21,CITY MEDICAL CTR 0276,80.12,Healthcare
878,2026-05-13,WENDYS #43897,76.12,Food
879,2026-01-27,STUDENT LOAN PMT 622783,86.36,Education
880,2025-10-24,HOSPITAL BILL 880395,366.61,Healthcare
881,2025-12-10,DEBIT CARD 379223,52.36,Ambiguous
882,2025-09-13,SQ *85283061,390.94,Ambiguous
883,2026-01-09,MINT MOBILE 11216,228.03,Utilities
884,2025-07-16,COSTCO WHSE #1790,313.79,Shopping
885,2025-09-22,PRET A MANGER 743,44.07,Food
886,2025-07-26,SPOTIFY 15632135,42.15,Entertainment
887,2025-11-03,UNIQLO 0238,111.74,Shopping
888,2025-07-03,WALMART #2275,166.32,Shopping
889,2026-03-22,WALGREENS #1037,192.68,Healthcare
890,2025-06-02,PROPERTY MGMT 1184,1256.24,Housing
891,2025-10-23,TJ MAXX #5168,339.49,Shopping
892,2025-10-08,SHERWIN WILLIAMS 6491,1040.99,Housing
893,2026-02-11,AMC THEATRES #1958,10.29,Entertainment
894,2025-07-03,NANDOS #4809,28.28,Food
895,2025-07-19,PLAYSTATION STORE,24.94,Entertainment
896,2025-06-30,AMTRAK TKT 371894,134.37,Transport
897,2025-08-25,ACE HARDWARE 2657,1277.62,Housing
898,2025-07-21,ZIPCAR 75233,62.3,Transport
899,2025-09-16,DEBIT CARD 399948,145.67,Ambiguous
900,2025-12-27,LOCAL BAKERY 231,71.15,Food
901,2025-09-18,DENTAL OFFICE 6404,274.68,Healthcare
902,2026-01-30,CHIPOTLE 1818,18.13,Food
903,2025-07-10,DUOLINGO PLUS,105.59,Education
904,2025-08-29,STARBUCKS STORE 1403,74.16,Food
905,2025-09-26,QUEST DIAGNOSTICS 11631,429.92,Healthcare
906,2026-03-14,AMC THEATRES #1128,39.69,Entertainment
907,2026-02-11,WALMART #5445,90.94,Shopping
908,2025-10-14,EXXON #7853,114.73,Transport
909,2026-03-26,PARKRIGHT 70629,92.35,Transport
910,2025-10-05,DUNKIN #9830,71.16,Food
911,2026-02-27,LOCAL BAKERY 849,23.5,Food
912,2025-08-31,COURSERA SUB 878753,229.15,Education
913,2026-03-20,KOHLS #2778,393.85,Shopping
914,2026-05-16,WALGREENS #1574,154.5,Healthcare
915,2025-12-08,HULU 4913342,38.44,Entertainment
916,2026-03-09,PLUMBER SVC 0219,714.2,Housing
917,2025-10-23,AMC THEATRES #6981,20.56,Entertainment
918,2025-05-28,EDX COURSE 279371,272.3,Education
919,2025-08-14,DUOLINGO PLUS,492.3,Education
920,2025-07-01,PLUMBER SVC 6580,1151.91,Housing
921,2026-03-15,ACE HARDWARE 4968,1380.0,Housing
922,2025-07-06,LABCORP 2045561,240.17,Healthcare
923,2026-03-30,BOOKING.COM 9118384,315.84,Housing
924,2026-01-13,SPOTIFY 36424809,21.84,Entertainment
925,2026-04-22,STUDY.COM 609191,424.79,Education
926,2025-07-25,NANDOS #71012,79.8,Food
927,2025-08-27,SECURITY DEPOSIT 24826,1220.3,Housing
928,2025-07-21,H&M #1568,293.02,Shopping
929,2025-11-23,MENARDS #2597,779.23,Housing
930,2025-09-23,SEWAGE SVC 7681,107.33,Utilities
931,2026-05-16,CHEVRON 2965,43.44,Transport
932,2025-07-09,COSTCO WHSE #6572,330.71,Shopping
933,2025-09-07,TJ MAXX #0468,306.02,Shopping
934,2025-06-23,COMMUNITY COLLEGE 2067,155.57,Education
